id,region_id,store_id,deal_id,status,platform_category_id
1,54,3,1,0,3
2,54,3,3,0,13
3,54,3,4,0,5
4,54,3,5,0,14
5,54,3,6,0,4
6,54,3,7,0,4
7,54,3,8,0,4
8,54,3,9,0,4
9,54,3,10,0,4
10,54,3,11,0,4
11,54,3,12,0,4
12,54,3,13,0,3
13,54,3,14,0,3
14,54,3,15,0,3
15,54,3,16,0,3
16,54,3,17,0,13
17,54,3,18,0,13
18,54,3,19,0,13
19,54,3,20,0,13
20,54,3,21,0,13
21,54,3,22,0,4
22,54,3,23,0,4
23,54,3,24,0,4
24,54,3,25,0,4
25,54,3,26,0,4
26,54,3,27,0,4
27,54,3,28,0,4
28,54,3,29,0,3
29,54,3,30,0,3
30,54,3,31,0,3
31,54,3,32,0,3
32,54,3,33,0,13
33,54,3,34,0,13
34,54,3,35,0,13
35,54,3,36,0,13
36,54,3,37,0,13
37,54,3,38,0,13
38,54,3,39,0,13
39,54,3,40,0,13
40,54,3,41,0,13
41,54,3,42,0,13
42,54,18,1,0,3
43,54,18,3,0,13
44,54,18,4,0,5
45,54,18,5,0,14
46,54,18,6,0,4
47,54,18,7,0,4
48,54,18,8,0,4
49,54,18,9,0,4
50,54,18,10,0,4
51,54,18,11,0,4
52,54,18,12,0,4
53,54,18,13,0,3
54,54,18,14,0,3
55,54,18,15,0,3
56,54,18,16,0,3
57,54,18,17,0,13
58,54,18,18,0,13
59,54,18,19,0,13
60,54,18,20,0,13
61,54,18,21,0,13
62,54,18,22,0,4
63,54,18,23,0,4
64,54,18,24,0,4
65,54,18,25,0,4
66,54,18,26,0,4
67,54,18,27,0,4
68,54,18,28,0,4
69,54,18,29,0,3
70,54,18,30,0,3
71,54,18,31,0,3
72,54,18,32,0,3
73,54,18,33,0,13
74,54,18,34,0,13
75,54,18,35,0,13
76,54,18,36,0,13
77,54,18,37,0,13
78,54,18,38,0,13
79,54,18,39,0,13
80,54,18,40,0,13
81,54,18,41,0,13
82,54,18,42,0,13
83,54,16,1,0,3
84,54,16,3,0,13
85,54,16,4,0,5
86,54,16,5,0,14
87,54,16,6,0,4
88,54,16,7,0,4
89,54,16,8,0,4
90,54,16,9,0,4
91,54,16,10,0,4
92,54,16,11,0,4
93,54,16,12,0,4
94,54,16,13,0,3
95,54,16,14,0,3
96,54,16,15,0,3
97,54,16,16,0,3
98,54,16,17,0,13
99,54,16,18,0,13
100,54,16,19,0,13
101,54,16,20,0,13
102,54,16,21,0,13
103,54,16,22,0,4
104,54,16,23,0,4
105,54,16,24,0,4
106,54,16,25,0,4
107,54,16,26,0,4
108,54,16,27,0,4
109,54,16,28,0,4
110,54,16,29,0,3
111,54,16,30,0,3
112,54,16,31,0,3
113,54,16,32,0,3
114,54,16,33,0,13
115,54,16,34,0,13
116,54,16,35,0,13
117,54,16,36,0,13
118,54,16,37,0,13
119,54,16,38,0,13
120,54,16,39,0,13
121,54,16,40,0,13
122,54,16,41,0,13
123,54,16,42,0,13
124,54,51,1,0,3
125,54,51,3,0,13
126,54,51,4,0,5
127,54,51,5,0,14
