id,alias,name,product_image,original_price,promo_price,minimum_purchase,description,seconds_before_expiration,available_start_time,available_end_time,available_days,violator_free_item,violator_save,violator_free_product_id,violator_percentage_discount,status,hash
26,BOGO11,"Buy 1 Family Pack Tofu Chips, Get 1 Junior Superpop for FREE",Popcorn_Taters_349.jpg,330,295,NULL,"Buy 1 Family Pack Tofu Chips, Get 1 Junior Superpop for FREE! Save PHP35!",1200,NULL,NULL,"Monday,Tuesday,Wednesday,Thursday,Friday",NULL,NULL,NULL,NULL,1,vubyt56n0iwb1kp9xxn5
27,BOGO12,"Buy 1 Party Pack Superpop, Get 1 Mini Tortilla Chips for FREE",Popcorn_Taters_350.jpg,305,220,NULL,"Buy 1 Party Pack Superpop, Get 1 Mini Tortilla Chips for FREE! Save PHP85!",1200,NULL,NULL,"Monday,Tuesday,Wednesday,Thursday,Friday",NULL,NULL,NULL,NULL,1,tjfxhsbsrhsp16mcv9t7
28,BOGO13,"Buy 1 Family Pack Tortilla Chips, Get 1 Junior Superpop for FREE",Popcorn_Taters_351.jpg,235,200,NULL,"Buy 1 Family Pack Tortilla Chips, Get 1 Junior Superpop for FREE! Save PHP35!",1200,NULL,NULL,"Monday,Tuesday,Wednesday,Thursday,Friday",NULL,NULL,NULL,NULL,1,titr0qooejp84dmtmtdp
29,Flash Deal 6,5 Family Pack Superpop,Popcorn_Taters_352.jpg,625,499,NULL,Get this bundle of 5 Family Pack Superpop for only PHP499. Save PHP126!,1200,10:00:00,13:00:00,NULL,NULL,NULL,NULL,NULL,1,5wvob2xxy40yefiw2grg
30,Flash Deal 7,5 Party Pack Superpop,Popcorn_Taters_353.jpg,1100,799,NULL,Get this bundle of 5 Party Pack Superpop for only PHP799. Save PHP301!,1200,10:00:00,13:00:00,NULL,NULL,NULL,NULL,NULL,1,tqhv9qzxemrscpee65do
31,Flash Deal 8,3 Major League Superpop,Popcorn_Taters_354.jpg,345,299,NULL,Get this bundle of 3 Major League Superpop for only PHP299. Save PHP46!,1200,10:00:00,13:00:00,NULL,NULL,NULL,NULL,NULL,1,clbk9vt0djhwm761zon7
32,Flash Deal 9,3 Family Pack Tofu Chips,Popcorn_Taters_355.jpg,885,699,NULL,Get this bundle of 3 Family Pack Tofu Chips for only PHP699. Save PHP186!,1200,10:00:00,13:00:00,NULL,NULL,NULL,NULL,NULL,1,s0arf0vr67jvgicb6ehu
33,PerDisc 1,"1 Party Pack Superpop
2 Family Tofu Chips",Popcorn_Taters_356.jpg,810,699,NULL,Enjoy this snacks combo for only PHP699. ,1200,NULL,NULL,"Monday,Tuesday,Wednesday,Thursday,Friday",NULL,NULL,NULL,NULL,1,hxke4kluofr42xyko95m
34,PerDisc 7,"1 Churkey Hotdog
1 Beef Hotdog
1 Ultimate Tex Mex Cornachos
2 Sugarfree Lemonade 12oz",Popcorn_Taters_357.jpg,430,349,NULL,Enjoy this snacks combo for only PHP349. ,1200,NULL,NULL,"Monday,Tuesday,Wednesday,Thursday,Friday",NULL,NULL,NULL,NULL,1,hjn2fnk9por0um7v6yqz
35,PerDisc 8,"1 Meaty Montreal Taters Chips
1 Southern Beef Hash House Fryes
2 Sugar Free Lemonade 12oz",Popcorn_Taters_358.jpg,495,399,NULL,Enjoy this snacks combo for only PHP399. ,1200,NULL,NULL,"Monday,Tuesday,Wednesday,Thursday,Friday",NULL,NULL,NULL,NULL,1,ycvflfeqydendqwy3rrj
36,PerDisc 9,"1 Meaty Montreal Taters Chips
1 Cheesy Ranchero Churkey Hotdog
1 New Yorker Beef Hotdog
2  Lemonade 12 oz",Popcorn_Taters_359.jpg,545,499,NULL,Enjoy this snacks combo for only PHP499. ,1200,NULL,NULL,"Monday,Tuesday,Wednesday,Thursday,Friday",NULL,NULL,NULL,NULL,1,oshw44qqxwcvge5fsrm5
37,PerDisc 10,"1 Ultimate Cheesy Ranchero Angus Beef Burger
1 Ultimate New Yorker Angus Beef Burger
1 Southern Beef Hash House Fryes
2 Sugarfree Lemonade 12oz",Popcorn_Taters_360.jpg,765,699,NULL,Enjoy this snacks combo for only PHP699. ,1200,NULL,NULL,"Monday,Tuesday,Wednesday,Thursday,Friday",NULL,NULL,NULL,NULL,1,codpg2cmpkviv8z5gtb4
38,PerDisc 11,"1 Party Pack Superpop
1 Mini Tofu Chips",Popcorn_Taters_361.jpg,375,325,NULL,Enjoy this snacks combo for only PHP325. ,1200,NULL,NULL,"Monday,Tuesday,Wednesday,Thursday,Friday",NULL,NULL,NULL,NULL,1,iist7a9csfuc7e3hu3h6
39,PerDisc 12,"1 Party Pack Superpop
2 Family Pack Superpop
1 Mini Tofu Chips",Popcorn_Taters_362.jpg,625,549,NULL,Enjoy this snacks combo for only PHP549. ,1200,NULL,NULL,"Monday,Tuesday,Wednesday,Thursday,Friday",NULL,NULL,NULL,NULL,1,me4hksdg4mpw30nkxcl4
40,PerDisc 13,"3 Party Pack Superpop
1 Mini Tortilla Chips",Popcorn_Taters_363.jpg,745,599,NULL,Enjoy this snacks combo for only PHP599. ,1200,NULL,NULL,"Monday,Tuesday,Wednesday,Thursday,Friday",NULL,NULL,NULL,NULL,1,t02omtc7xe05begu7roz
41,PerDisc 14,"3 Mini Tofu Chips
2 Mini Tortilla Chips
1 Party Pack Superpop",Popcorn_Taters_364.jpg,855,699,NULL,Enjoy this snacks combo for only PHP699. ,1200,NULL,NULL,"Monday,Tuesday,Wednesday,Thursday,Friday",NULL,NULL,NULL,NULL,1,i7fu3qfuoen44hf2jz9m
42,PerDisc 15,"1 Family Tortilla Chips
1 Family Superpop
1 Family Tofu Chips",Popcorn_Taters_365.jpg,620,549,NULL,Enjoy this snacks combo for only PHP549. ,1200,NULL,NULL,"Monday,Tuesday,Wednesday,Thursday,Friday",NULL,NULL,NULL,NULL,1,489uji1zdy8fzpi1369y
